                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.4823,                 1.2905,                   1.74,                0.68699,                0.56061,                 0.6194,                0.34319,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.4916,                 1.2766,                 1.7059,                0.66918,                0.58182,                0.64089,                0.34447,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 1.3899,                 1.3186,                 1.6805,                0.67604,                0.52727,                0.63112,                0.33525,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.4064,                 1.2238,                 1.6925,                 0.7363,                0.57273,                0.66505,                0.35942,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 1.3169,                 1.1771,                 1.6229,                0.68407,                    0.6,                0.65738,                0.36384,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                 1.3185,                 1.1813,                  1.632,                0.68831,                0.61515,                0.68896,                0.38039,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                 1.3254,                 1.1223,                 1.6064,                0.65904,                0.63939,                0.67766,                 0.3842,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                 1.3154,                 1.0871,                 1.6161,                0.72461,                0.60303,                0.68484,                0.38485,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                  1.281,                 1.0939,                  1.586,                0.73661,                 0.6017,                0.69437,                0.38618,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                 1.2715,                 1.1124,                 1.5877,                0.66968,                 0.6303,                0.69005,                0.38603,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 1.2753,                 1.0481,                 1.5844,                0.70435,                0.61212,                0.68208,                0.37769,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                 1.2577,                 1.1156,                 1.6136,                0.75897,                0.60606,                0.68889,                0.38749,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
